rank,workers,company,state_s,city,metro,growth,revenue,industry,yrs_on_list
1,227,Fuhu,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,2
2,191,Quest Nutrition,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,1
3,145,Reliant Asset Management,VA,Arlington,Washington DC,55460.1646,85076502,Business Products & Services,1
4,62,Superfish,CA,Palo Alto,San Jose,26042.963,35293000,Software,1
5,92,Acacia Communications,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,1
6,50,Provider Power,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203,Energy,2
7,129,Crescendo Bioscience,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,2
8,130,Plexus Worldwide,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,1
9,264,Vacasa,OR,Portland,Portland OR,16192.061,26263454,Travel & Hospitality,1
10,11,Go Energies,NC,Wilmington,Wilmington NC,16006.8013,32851754,Energy,1
11,113,Minute Key,CO,Boulder,Boulder CO,14588.3448,15782039,Consumer Products & Services,1
12,135,Sainstore,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863,Business Products & Services,1
13,153,The HCI Group,FL,Jacksonville,Jacksonville FL,13230.9467,34583142,Health,2
14,313,Dynamic Dental Partners Group,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935,Health,1
15,159,Aseptia,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650,Food & Beverage,1
16,34,Asentra Health,HI,Honolulu,Honolulu HI,12127.9133,20445071,Health,1
17,436,American Solar Direct,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,1
18,42,Prescient Edge,VA,McLean,Washington DC,11497.7718,12315210,Government Services,1
19,27,BlueSquare Resolutions,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,2
20,44,BES Design/Build,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161,Engineering,1
21,12,Simpler Trading,TX,Austin,Austin,10522.6415,11260000,Financial Services,1
22,790,sweetFrog Premium Frozen Yogurt,VA,Richmond,Richmond VA,10371.7994,34382478,Food & Beverage,1
23,17,Base Commerce,AZ,Tempe,Phoenix,10186.259,12479598,Financial Services,1
24,102,CPSG Partners,TX,Dallas,Dallas,9531.6371,17095000,IT Services,1
25,102,MedHOK,FL,Tampa,Tampa,9109.1892,17037000,Health,1
26,90,Showroom Logic,FL,Miami,Miami,8448.5785,13443409,Advertising & Marketing,1
27,27,WeVeel,PA,Morrisville,Dallas,8239.8148,9007000,Consumer Products & Services,1
28,10,PackIt,CA,Westlake Village,Los Angeles,7877.9544,11874148,Consumer Products & Services,1
29,8,American Retirement Advisors,AZ,Scottsdale,Phoenix,7758.1594,13876488,Financial Services,1
30,200,HighPoint Global,IN,Indianapolis,Indianapolis IN,7638.5408,95810719,Business Products & Services,1
31,33,AdKarma,MO,Columbia,Columbia MO,7635.2397,13326503,Advertising & Marketing,1
32,176,Axtria,NJ,Berkeley Heights,New York City,7351.2959,8963909,IT Services,1
33,24,Dolls Kill,CA,San Francisco,San Francisco,7055.6604,7585000,Retail,1
34,140,Centric Digital,NY,New York,New York City,6898.4173,18045419,Business Products & Services,1
35,55,Retail Capital,MI,Troy,Detroit,6861.3577,7013359,Financial Services,1
36,61,Restore Health,WI,Madison,Madison WI,6663.1769,6821205,Health,2
37,53,OpenRoad Lending,TX,North Richland Hills,Dallas,6603.3722,8853881,Financial Services,1
38,25,Pontchartrain Partners,LA,New Orleans,New Orleans-Metairie-Kenner LA,6535.0538,10545091,Government Services,1
39,1,Team Extreme Marketing International,MD,Chevy Chase,Washington DC,6369.1921,6772856,Consumer Products & Services,1
40,4,Choice Energy,IA,Des Moines,Des Moines-West Des Moines IA,6020.9548,20894369,Energy,1
41,24,ReviMedia,NY,New York,New York City,5817.1289,5963105,Advertising & Marketing,1
42,96,SmartZip Analytics,CA,Pleasanton,San Francisco,5811.3568,11396150,Software,1
43,48,Thompson Gray,AL,Huntsville,Huntsville AL,5752.5251,14104761,Government Services,1
44,147,MCSG Technologies,OK,Norman,Oklahoma City OK,5715.2859,7686703,IT Services,1
45,20,Innovative Surveillance Solutions,TX,Tyler,Tyler TX,5604.7826,10247444,Security,1
46,379,Nordic,WI,Madison,Madison WI,5593.0143,81410104,Health,1
47,40,Michigan Realty Solutions,MI,Richmond,Detroit,5530.8057,6178120,Real Estate,1
48,17,Ohio Investments,OH,Enon,Springfield OH,5507.4529,23809245,Real Estate,1
49,30,Adore Me,NY,New York,New York City,5505.55,5637838,Retail,1
50,35,IQ Formulations,FL,Sunrise,Miami,5486.2116,8269660,Health,1
51,32,MAX Digital,IL,Chicago,Chicago,5483.1298,6577541,Software,1
52,50,MaxHome,LA,New Orleans,New Orleans-Metairie-Kenner LA,5438.9673,5792929,Construction,1
53,1106,Alex and Ani,RI,Cranston,Providence-New Bedford-Fall River RI-MA,5220.9165,230109687,Retail,5
54,46,Crowdtap,NY,New York,New York City,5217.2043,6261593,Advertising & Marketing,1
55,30,Compass Automation,IL,Elgin,Chicago,5214.2331,5703235,Manufacturing,1
56,35,Multifamily Utility,CA,San Diego,San Diego,5196.0656,5757194,Real Estate,1
57,19,The Joint,AZ,Scottsdale,Phoenix,5139.4732,5958067,Health,3
58,70,Bizness Apps,CA,San Francisco,San Francisco,5078.5874,6178728,Software,1
59,59,EcoSense Lighting,CA,Los Angeles,Los Angeles,5059.1489,15363997,Manufacturing,1
60,61,PhotoBin,CA,San Diego,San Diego,5003.4376,6385268,Consumer Products & Services,1
61,44,PMG Worldwide,TX,Fort Worth,Dallas,5000.4026,5764577,Advertising & Marketing,1
62,19,Victor Securities,NJ,Englewood,New York City,4897.024,6494832,Financial Services,3
63,89,eLan Technologies,TX,Irving,Dallas,4863.7089,9149555,IT Services,1
64,41,Centennial Lending Group,PA,Maple Glen,Philadelphia,4845.0294,166889598,Financial Services,1
65,143,Tough Mudder,NY,Brooklyn,New York City,4737.5104,107900476,Health,1
66,40,Netcom3 Global,CA,Laguna Niguel,Los Angeles,4724.7797,30058088,Software,3
67,3,Gideon Services,AL,Huntsville,Huntsville AL,4723.0413,23252268,Government Services,1
68,34,Viderity,DC,Washington,Washington DC,4722.8947,18327000,Government Services,2
69,37,Affectiva,MA,Waltham,Boston,4676.4588,5017670,Software,1
70,40,AdHarmonics,MA,Cambridge,Boston,4669.4024,45929345,Advertising & Marketing,1
71,28,Acordis International,FL,Miramar,Miami,4638.7226,6000834,IT Services,2
72,40,KRAVE Pure Foods,CA,Sonoma,Napa CA,4632.0582,16940863,Food & Beverage,1
73,175,Main Street Hub,TX,Austin,Austin,4625.3168,9157664,Advertising & Marketing,1
74,4,First Point Power,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000,Energy,1
75,64,Ethology,AZ,Scottsdale,Phoenix,4219.4187,8815804,Advertising & Marketing,1
76,126,Regal Wings,NY,Brooklyn,New York City,4146.4844,54355000,Travel & Hospitality,2
77,23,Solect Energy Development,MA,Hopkinton,Boston,4101.3374,12477972,Energy,1
78,16,Old Pro Roofing,TX,Burleson,Dallas,4076.4206,4897229,Construction,1
79,53,Clean Energy Experts,CA,Manhattan Beach,Los Angeles,4063.5937,6058237,Advertising & Marketing,1
80,32,LogoUp.com,FL,Pompano Beach,Miami,4062.0098,8003961,Retail,1
81,28,ANALYTICA,DC,Washington,Washington DC,4056.1632,15010399,IT Services,1
82,131,Phunware,TX,Austin,Austin,4040.0382,22119065,Software,2
83,39,iCracked,CA,Redwood City,San Francisco,4033.2486,7315850,Consumer Products & Services,1
84,13,BuyBackWorld,NY,Long Island City,New York City,4011.2131,4139786,Consumer Products & Services,1
85,49,Tahzoo,DC,Washington,Washington DC,3946.3888,5693350,Advertising & Marketing,1
86,1250,Connexion Point,UT,Salt Lake City,Salt Lake City,3943.8155,18286053,Health,1
87,2,Meister Cook,IN,Fort Wayne,Fort Wayne IN,3943.004,7707138,Business Products & Services,1
88,150,TUNE,WA,Seattle,Seattle,3939.4786,18904275,Advertising & Marketing,2
89,28,Constructure Management,PA,Malvern,Philadelphia,3929.4614,33167746,Construction,1
90,14,Pendo Management Group,MO,Lee's Summit,Kansas City MO-KS,3877.8706,8471671,Real Estate,1
91,45,Gemini Consulting & Services,MO,St. Louis,St. Louis MO-IL,3869.7686,6469651,IT Services,1
92,764,Next Step Living,MA,Boston,Boston,3859.6587,58009000,Energy,2
93,26,FastPay,CA,Beverly Hills,Los Angeles,3824.8721,5061986,Financial Services,1
94,6,Early Upgrade,FL,Jacksonville,Jacksonville FL,3745.689,18068816,Consumer Products & Services,1
95,90,Yochana IT Solutions,MI,Farmington Hills,Detroit,3694.0309,5637285,IT Services,1
96,192,American Care Partners,VA,Falls Church,Washington DC,3656.7915,6580396,Health,1
97,10,Prepay Nation,PA,Berwyn,Philadelphia,3637.1336,110914763,Financial Services,1
98,115,PEG Bandwidth,TX,The Colony,Dallas,3612.7746,32895443,Telecommunications,1
99,108,Global Energy Efficiency,NY,Bronx,New York City,3588.5841,12860765,Energy,1
100,72,LaunchPoint,IL,Itasca,Chicago,3544.2164,12899943,Health,1
101,7,Equipatron,WI,Mequon,Milwaukee-Waukesha-West Allis WI,3543.1,5284863,Retail,1
102,12,GovSmart,VA,Charlottesville,Charlottesville VA,3532.3775,25433653,Computer Hardware,1
103,90,The Clymb,OR,Portland,Portland OR,3531.5493,64460000,Retail,1
104,380,Alliance Health,UT,Salt Lake City,Salt Lake City,3490.2076,85596581,Health,1
105,100,Inkling,CA,San Francisco,San Francisco,3443.0435,8149000,Software,1
106,80,Patriot Group International,VA,Warrenton,Culpeper VA,3401.9117,24073472,Government Services,1
107,65,Insureon,IL,Chicago,Chicago,3357.8136,11844049,Insurance,1
108,146,RevLocal,OH,Granville,Columbus OH,3341.7125,7268587,Advertising & Marketing,2
109,37,Apex Fuels,CA,Murrieta,Riverside-San Bernardino-Ontario CA,3323.5318,134567633,Energy,1
110,200,Multicoreware,CA,Sunnyvale,San Jose,3322.105,7686082,Software,1
111,87,MobileHelp,FL,Boca Raton,Miami,3304.8214,18661656,Health,1
112,12,Ataraxis,ID,Boise,Boise City-Nampa ID,3277.519,40765844,Human Resources,1
113,15,Fortress Gold Group,CA,Sherman Oaks,Los Angeles,3257.9707,9809304,Financial Services,1
114,73,AdColony,CA,Los Angeles,Los Angeles,3236.4728,52783000,Advertising & Marketing,2
115,87,Integral Ad Science,NY,New York,New York City,3231.6852,23442470,Advertising & Marketing,1
116,18,Technomax,NJ,West Windsor,Trenton-Ewing NJ,3225.0636,4002379,IT Services,2
117,458,hCentive,VA,Reston,Washington DC,3214.4606,26493445,Health,1
118,14,Intelligent Audit,NJ,Rochelle Park,,3122.0588,318842114,Logistics & Transportation,2
119,60,SimpliSafe Home Security,MA,Cambridge,Boston,3075.8406,38454825,Security,1
120,43,Boxman Studios,NC,Charlotte,Charlotte,3074.0826,4322910,Business Products & Services,1
121,30,SeatGeek,NY,New York,New York City,3039.1304,12274000,Consumer Products & Services,1
122,23,Smashwords,CA,Los Gatos,San Jose,3018.5723,22037828,Media,1
123,18,Securityhunter,MD,Baltimore,Baltimore,2998.3413,35931650,Government Services,3
124,74,VRx,UT,Salt Lake City,Salt Lake City,2987.2957,89554237,Health,3
125,42,SmackTom.com,FL,Miami,Miami,2963.7255,3125000,Retail,1
126,10,Virtual Fleet Supervisor,FL,Oviedo,Orlando FL,2948.8362,3526101,Software,1
127,262,CareCloud,FL,Miami,Miami,2939.6153,10455000,Health,1
128,64,Fueled,NY,New York,New York City,2916.7442,6486000,Advertising & Marketing,1
129,14,Bob's Watches,CA,Westminster,Los Angeles,2861.191,11101120,Retail,1
130,6,CPA Trend,NY,Howard Beach,New York City,2842.941,5826876,Advertising & Marketing,1
131,17,Jobs2Careers,TX,Austin,Austin,2829.7514,22359716,Human Resources,1
132,200,29 Prime,CA,Irvine,Los Angeles,2790.9199,20289054,Advertising & Marketing,3
133,180,Prolim,MI,Farmington Hills,Detroit,2756.9034,5129970,IT Services,2
134,867,Loyal Source Government Services,FL,Orlando,Orlando FL,2753.5176,55980536,Government Services,1
135,24,Marketsmith,NJ,Parsippany,New York City,2752.5555,72908666,Advertising & Marketing,2
136,18,Project Management Academy,IN,West Lafayette,,2752.4901,8094996,Education,1
137,25,Flying Cork Media,PA,Pittsburgh,Pittsburgh PA,2745.4166,7502709,Advertising & Marketing,1
138,160,Motivity Labs,TX,Irving,Dallas,2716.0018,3225899,IT Services,1
139,232,Twilio,CA,San Francisco,San Francisco,2710.8696,51720000,Telecommunications,1
140,20,Signature Closers,OH,Upper Arlington,Columbus OH,2709.3881,3843580,Real Estate,1
141,81,PureCars,SC,Charleston,Charleston-North Charleston SC,2689.9672,8725985,Advertising & Marketing,1
142,96,The Cambridge Institute of International Education,MA,Waltham,Boston,2683.3172,9784000,Education,1
143,53,Market6,IL,Deerfield,Chicago,2677.1957,15085838,Software,1
144,53,LiveRamp,CA,San Francisco,San Francisco,2665.2479,21040412,Advertising & Marketing,1
145,160,MyClean,NY,New York,New York City,2646.4033,4399793,Consumer Products & Services,1
146,35,PresenceLearning,CA,San Francisco,San Francisco,2634.2593,5906000,Education,1
147,140,Residential Capital Management,GA,Atlanta,Atlanta,2626.018,30167124,Real Estate,1
148,14,Total Technology Solutions Group,IL,St. Charles,Chicago,2608.0908,3115496,Business Products & Services,1
149,98,Buy PD,UT,American Fork,Provo-Orem UT,2606.3465,79837059,Real Estate,1
150,120,Goal Zero,UT,Bluffdale,Salt Lake City,2598.7288,34249000,Consumer Products & Services,2
151,89,Advocate Merchant Solutions,IN,Fishers,Indianapolis IN,2573.062,4531348,Financial Services,2
152,2200,Sky Zone Indoor Trampoline Park,CA,Los Angeles,Los Angeles,2571.0587,88183962,Consumer Products & Services,4
153,11,Avenue Link,KS,Overland PArk,Kansas City MO-KS,2564.509,6360103,Advertising & Marketing,1
154,12,Incredible Supply & Logistics,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,2550.7143,7422000,Government Services,1
155,14,ReSell,FL,Maitland,Orlando FL,2545.6932,4728621,Business Products & Services,1
156,29,Legion Logistics,KY,Florence,Cincinnati,2545.2064,15115027,Logistics & Transportation,1
157,11,GrayPay,CA,Encino,Los Angeles,2539.989,2981762,Financial Services,1
158,1,Urban Investment Group,DC,Washington,Washington DC,2526.0778,4822398,Real Estate,1
159,12,SPHERE Technology Solutions,NJ,Hoboken,New York City,2524.0876,3595000,Security,1
160,64,Bai Brands,NJ,Hamilton,Trenton-Ewing NJ,2521.6684,17139891,Food & Beverage,1
161,15,RocketDrop,NH,Salem,Boston,2518.6981,72626345,Business Products & Services,1
162,24,ECHO Health,OH,Westlake,Cleveland,2509.1757,46984261,Health,3
163,75,Marathon TS,VA,Kilmarnock,,2507.7517,6821409,Government Services,1
164,8,AudioMicro,CA,Sherman Oaks,Los Angeles,2495.6297,5426086,Media,2
165,6,LED Supply,CO,Lakewood,Denver,2474.0559,2877743,Business Products & Services,1
166,6,LeGault Homes,VA,Glen Allen,Richmond VA,2455.075,7660396,Real Estate,1
167,9,Forte International Tax,IL,Evanston,Chicago,2447.3722,3475711,Financial Services,1
168,31,Paradigm Mechanical,CA,Lemon Grove,San Diego,2439.5443,5250000,Construction,1
169,45,Finance Store,CA,Santa Ana,Los Angeles,2436.3022,4590707,Financial Services,2
170,27,Pure Incubation,MA,Topsfield,Boston,2427.7792,4696917,Advertising & Marketing,1
171,10,Kohana Coffee,TX,Austin,Austin,2416.7762,2825786,Food & Beverage,1
172,107,Ensighten,CA,Cupertino,San Jose,2415.8055,8277000,Advertising & Marketing,1
173,123,Pathway Genomics,CA,San Diego,San Diego,2415.5285,14426053,Health,1
174,325,CenseoHealth,TX,Dallas,Dallas,2406.9499,117230240,Health,1
175,270,3A/WorldWide,FL,Miami,Miami,2402.7683,57568000,Advertising & Marketing,1
176,90,180Fusion,CA,Los Angeles,Los Angeles,2379.1819,6662008,Advertising & Marketing,1
177,47,Kamis,MD,Gaithersburg,Washington DC,2368.9874,3058705,IT Services,1
178,35,Apex Controls,GA,McDonough,Atlanta,2360.0708,7789273,Energy,1
179,16,InkSoft,NM,Albuquerque,Albuquerque NM,2347.731,2488706,Software,1
180,19,Futurewave Systems,GA,Atlanta,Atlanta,2342.899,2768000,IT Services,1
181,20,6 Pack Fitness,CA,San Francisco,San Francisco,2336.4112,6310305,Retail,1
182,10,Genzum Life Sciences,CA,Los Angeles,Los Angeles,2333.3009,8561253,Health,1
183,247,ProctorU,CA,Livermore,San Francisco,2312.1435,6435816,Education,1
184,19,Dakenna Development,FL,Jacksonville,Jacksonville FL,2302.5208,8270918,Construction,1
185,68,Duda,CA,Palo Alto,San Jose,2299.954,5532830,Software,1
186,35,Holganix,PA,Glen Mills,Philadelphia,2291.3554,4306568,Environmental Services,1
187,15,NITS Solutions,MI,Novi,Detroit,2291.3176,2775411,IT Services,1
188,18,Paramount Lodging Advisors,IL,Chicago,,2288.3653,2465605,Real Estate,1
189,35,EmazingLights,CA,Anaheim,Los Angeles,2281.335,5842010,Retail,1
190,35,Level Interactive,PA,Pittsburgh,Pittsburgh PA,2258.7014,11958616,Advertising & Marketing,1
191,75,shopkick,CA,Redwood City,San Francisco,2250.0409,26319118,Retail,1
192,129,TekWissen,MI,Ann Arbor,Ann Arbor MI,2236.1753,7802802,IT Services,1
193,15,VPCinnovations,WI,Mount Pleasant,Chicago,2234.3619,5390952,Computer Hardware,1
194,42,Clean Energy Collective,CO,Boulder,Boulder CO,2216.9118,9453000,Energy,1
195,13,Silver Bullet Construction,TX,Dalworthington Garden,Dallas,2215.5963,2524000,Construction,1
196,48,Aegis Corps,VA,Chantilly,Washington DC,2208.3868,2900488,Government Services,1
197,300,uBreakiFix,FL,Orlando,Orlando FL,2188.8349,26472870,Retail,2
198,302,Culture.Service.Growth.,TX,San Antonio,San Antonio TX,2182.0898,7993065,Business Products & Services,1
199,72,CardCash.com,NJ,Brick,New York City,2181.7178,55788000,Consumer Products & Services,3
200,450,Protein Bar,IL,Chicago,Chicago,2181.6917,14211083,Food & Beverage,1
201,45,Metis Solutions,VA,Alexandria,Washington DC,2170.6344,8686766,Government Services,1
202,17,Title Boxing Club,KS,Overland Park,Kansas City MO-KS,2168.421,34252000,Health,1
203,52,VETS Etc.,CA,Seaside,Salinas CA,2162.0323,6480926,IT Services,2
204,32,LocalResponse,NY,New York,New York City,2152.8937,9565336,Advertising & Marketing,2
205,36,Tongal,CA,Santa Monica,Los Angeles,2144.0473,8417085,Advertising & Marketing,1
206,84,Novisync Solutions,NY,Fishkill,Poughkeepsie-Newburgh-Middletown NY,2143.7949,8517670,IT Services,2
207,40,Tax Guard,CO,Boulder,Boulder CO,2140.5432,4354787,Financial Services,1
208,12,Nexgen Property Solutions,TX,Laredo,Laredo TX,2135.5987,5378001,Financial Services,1
209,120,PerformTel,MN,Ramsey,Minneapolis,2120.61,2273616,Business Products & Services,1
210,25,R.J. Allen & Associates,MS,Oxford,Oxford MS,2117.7132,26199465,Construction,2
211,6,Splash and Dash for Dogs International,FL,St. Petersburg,Tampa,2117.7004,2291195,Consumer Products & Services,1
212,17,ePremium Insurance,OH,Mason,Cincinnati,2109.317,3795474,Insurance,1
213,15,McAfee Institute,IL,Peoria,Peoria IL,2097.07,39571912,Education,2
214,7,IDsecurityonline.com,NY,New York,New York City,2093.0319,4898356,Security,1
215,25,Wren,CA,Los Angeles,Los Angeles,2092.1892,5154056,Retail,1
216,16,Newmind Group,MI,Kalamazoo,Kalamazoo-Portage MI,2065.3678,15469496,IT Services,1
217,43,Obsidian Analysis,DC,Washington,Washington DC,2061.3142,9105768,Government Services,1
218,10,Universal Synaptics,UT,Roy,Ogden-Clearfield UT,2042.1898,2149259,Government Services,1
219,13,Global Commerce and Services,LA,Harvey,New Orleans-Metairie-Kenner LA,2040.9645,3521801,Government Services,1
220,42,Stoneside Blinds & Shades,CO,Denver,Denver,2040.0212,4893244,Consumer Products & Services,1
221,35,Blue Star Tec,IL,Bloomingdale,Chicago,2033.014,3869970,IT Services,2
222,22,Loqate,CA,San Mateo,San Francisco,2025.7586,4464093,Software,1
223,155,PresPro,NC,Harrisburg,Charlotte,2011.857,3539958,Construction,1
224,59,PcCareSupport,UT,Provo,Provo-Orem UT,2001.4546,2364977,IT Services,1
225,42,AltaSource Group,WA,Kirkland,Seattle,1996.6068,7116722,IT Services,1
226,74,VDX,NJ,Cranford,New York City,1996.4706,8910000,IT Services,1
227,30,Cloudbilt,NC,Charlotte,Charlotte,1994.6083,4074453,Software,1
228,14,Strategi Consulting,MD,Chevy Chase,Washington DC,1994.359,3475505,IT Services,1
229,3,PPT Fiberglass,TX,Houston,Houston,1983.3333,2500000,Manufacturing,1
230,4,X5 Networks,DE,Wilmington,Philadelphia,1970.7638,2114664,IT Services,1
231,74,Pathoras,VA,Fairfax,Washington DC,1960.201,9306999,Government Services,1
232,11,American Wireless,VA,Arlington,Washington DC,1957.7655,42522345,Telecommunications,1
233,174,SendGrid,CO,Boulder,Boulder CO,1944.7493,28906069,Software,1
234,28,Laudan Properties,OH,Twinsburg,Akron OH,1938.44,10107299,Real Estate,1
235,20,Streamline Solutions,PA,Philadelphia,Philadelphia,1926.8608,7955530,Real Estate,1
236,7,Eau De Luxe,NY,Long Island City,New York City,1926.8199,2540031,Retail,1
237,16,Levitate Media,CA,San Francisco,San Francisco,1923.3738,2094293,Media,1
238,80,Avani Technology Solutions,NY,Rochester,Rochester NY,1915.7856,7333811,IT Services,1
239,19,Expert Technical Solutions,GA,Atlanta,Atlanta,1908.1744,3493139,IT Services,1
240,25,Motiv Power Systems,CA,Foster City,San Francisco,1900.4708,2681071,Energy,1
241,10,Allurez,NY,Great Neck,New York City,1895.0226,3681934,Retail,1
242,125,Logical Paradigm,VA,Herndon,Washington DC,1892.7737,7642008,IT Services,1
243,125,LiveRail,CA,San Francisco,San Francisco,1892.6301,72731000,Advertising & Marketing,1
244,24,Hydro Flask,OR,Bend,Prineville OR,1890.4539,12684307,Consumer Products & Services,1
245,250,Act-On Software,OR,Beaverton,Portland OR,1879.873,19378839,Software,2
246,3,Spartan Value Investors,AL,Birmingham,Birmingham-Hoover AL,1865.5423,3370905,Real Estate,1
247,16,GreenRope,CA,Cardiff,San Diego,1858.9052,2129330,Software,1
248,385,Lending Club,CA,San Francisco,San Francisco,1854.1775,98002000,Financial Services,1
249,24,DrChrono,CA,Mountain View,San Jose,1834.0544,2863000,Health,1
250,75,Capstone (Sausalito CA),CA,Sausalito,San Francisco,1832.2052,13719024,Business Products & Services,1
251,4,Alcohol by Volume,CA,Monterey,Salinas CA,1822.9191,4492939,Food & Beverage,1
252,54,H.Bloom,NY,New York,New York City,1817.2651,7209607,Consumer Products & Services,1
253,150,Tealium,CA,San Diego,San Diego,1808.4227,12462000,Software,1
254,360,Boostability,UT,Lehi,Provo-Orem UT,1806.2091,22344907,Advertising & Marketing,1
255,42,Solve Media,NY,New York,New York City,1798.0949,13031655,Advertising & Marketing,1
256,22,Heartland Energy Partners,VA,Arlington,Washington DC,1797.1091,2117648,Business Products & Services,1
257,105,Bridger,TX,Addison,Dallas,1792.1589,3487872233,Energy,2
258,200,Jeunesse Global,FL,Altamonte Springs,Orlando FL,1787.997,224009679,Consumer Products & Services,1
259,52,Touchsuite,FL,Boca Raton,Miami,1769.7794,19209927,Software,2
260,29,Acceleration Partners,MA,Needham,Boston,1768.0759,8711828,Advertising & Marketing,2
261,22,Moore Heating & Air Conditioning,CA,Santa Rosa,Santa Rosa-Petaluma CA,1757.6285,3124754,Construction,1
262,16,Optimatic Media,NY,New York,New York City,1753.3284,34313968,Advertising & Marketing,2
263,15,EPI Engineering,TX,Houston,Houston,1750.9113,2005777,Engineering,1
264,100,Simplicity Laser,UT,Lindon,Provo-Orem UT,1743.2007,4995074,Consumer Products & Services,1
265,15,Cinium Financial Services,FL,Miami,Miami,1742.3365,4442684,Financial Services,3
266,70,TNH Advanced Specialty Pharmacy,CA,Van Nuys,Los Angeles,1734.4746,101455802,Health,2
267,142,Human Movement Management,CO,Louisville,Boulder CO,1724.3576,9054816,Consumer Products & Services,1
268,47,Allegheny Science & Technology,WV,Bridgeport,,1723.2877,7023359,Government Services,1
269,110,Hudl,NE,Lincoln,Lincoln NE,1707.5863,22326800,Software,2
270,69,GuideSpark,CA,Menlo Park,San Francisco,1703.5556,4058000,Software,1
271,25,Optimus Technology,MD,Columbia,Baltimore,1701.5569,2086383,IT Services,1
272,22,Luxe Royale,NV,Las Vegas,Las Vegas-Paradise NV,1696.071,2265115,Travel & Hospitality,1
273,8,SoluComp,IL,South Barrington,Chicago,1694.0032,2213172,Telecommunications,1
274,15,RPM Freight Systems,MI,Royal Oak,Detroit,1683.3663,4647952,Logistics & Transportation,1
275,24,Motivational Press,CA,Carlsbad,San Diego,1675.0,2343000,Media,1
276,41,Accordant Media,NY,New York,New York City,1663.0114,27119347,Advertising & Marketing,1
277,100,iQuanti,NJ,Hoboken,New York City,1654.4182,5001355,Advertising & Marketing,2
278,268,Bareburger,NY,Long Island City,New York City,1652.3627,31150000,Food & Beverage,1
279,74,BMA,KS,Leavenworth,Kansas City MO-KS,1651.8539,14580032,Government Services,2
280,73,CoverMyMeds,OH,Twinsburg,Akron OH,1647.939,18691673,Health,2
281,40,Entrada,TN,Brentwood,Nashville,1627.8717,5780975,IT Services,1
282,14,MES,OH,Lewis Center,Columbus OH,1620.9718,20354071,Logistics & Transportation,3
283,20,FreeRateUpdate.com,NV,Las Vegas,Las Vegas-Paradise NV,1612.0096,8168477,Advertising & Marketing,1
284,7,Southern Green Builders,TX,Houston,Houston,1610.4108,4166116,Construction,1
285,28,Excellence Engineering,OK,Tulsa,Tulsa OK,1603.5675,5226000,Engineering,1
286,29,Fonteva,VA,Arlington,Washington DC,1599.7825,2876083,Software,1
287,147,Madwire,CO,Loveland,Fort Collins-Loveland CO,1593.0873,13325850,Advertising & Marketing,2
288,10,Whet Travel,FL,Miami Beach,Miami,1579.9141,6397449,Travel & Hospitality,1
289,27,Zapproved,OR,Hillsboro,Portland OR,1566.5949,2378081,Software,1
290,77,It Works!,FL,Bradenton,Sarasota-Bradenton-Venice FL,1565.3208,456296000,Consumer Products & Services,4
291,27,InQuicker,TN,Nashville,Nashville,1564.3714,5198298,Health,1
292,5,UpSurge Media Group,NY,New York,New York City,1560.1278,5577000,Advertising & Marketing,2
293,23,United Credit Consultants,MN,Burnsville,Minneapolis,1555.6041,2038446,Financial Services,1
294,19,Trapp,AZ,Scottsdale,Phoenix,1554.1583,2041099,IT Services,1
295,157,VSI Nearshore Outsourcing,FL,Miami,Miami,1551.0642,3197550,IT Services,2
296,2,AcquisitionsAndRenewals.com,NV,Henderson,Las Vegas-Paradise NV,1548.8424,4628284,Telecommunications,1
297,19,Bio Soil Enhancers,MS,Hattiesburg,,1538.9036,7811162,Manufacturing,2
298,23,Cogito,MA,Boston,Boston,1528.9871,2524930,Software,1
299,35,MorrisCore,FL,Pompano Beach,Miami,1520.2761,2064653,Advertising & Marketing,1
300,7,Noi Solutions,NY,New York,New York City,1519.4793,22833994,Business Products & Services,1
301,32,KeVita Sparkling Probiotic Drinks,CA,Oxnard,Oxnard-Thousand Oaks-Ventura CA,1518.5507,11168000,Food & Beverage,1
302,12,HoverCam,CA,San Diego,San Diego,1517.0231,4760241,Manufacturing,1
303,10,Apex Resources,TX,Dallas,Dallas,1515.4893,25450095,Manufacturing,3
304,25,SiteCompli,NY,New York,New York City,1512.312,5126072,Software,1
305,80,Clearleap,GA,Duluth,Atlanta,1509.6721,9819000,Software,3
306,15,StartFinder,MD,Rockville,Washington DC,1509.4059,3251000,Human Resources,2
